timestamp,correct
1743428183215.0,False
1743428184053.0,False
1743428184681.0,False
1743428185151.0,False
1743428185742.0,True
1743428198273.0,False
1743428198652.0,False
1743428199071.0,False
1743428199516.0,False
1743428200189.0,False
1743428200625.0,True
1743428205166.0,False
1743428205542.0,False
1743428205976.0,False
1743428206394.0,False
1743428206829.0,False
1743428207453.0,True
1743428212595.0,False
1743428212985.0,False
1743428213494.0,False
1743428214038.0,False
1743428214573.0,False
1743428215105.0,True
1743428223378.0,False
1743428224140.0,False
1743428224811.0,False
1743428225266.0,False
1743428225714.0,False
1743428226210.0,True
